NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
ACETILCISTEINA EG;034821052;ACETILCISTEINA;"""300 MG/3 ML SOLUZIONE INIETTABILE E DA NEBULIZZARE"" 10 FIALE DA 3 ML";EG S.P.A.;20/02/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA EG;034821037;ACETILCISTEINA;"""300 MG/3 ML SOLUZIONE INIETTABILE E DA NEBULIZZARE"" 5 FIALE";EG S.P.A.;31/12/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA ZENTIVA LAB;047378017;ACETYLCYSTEINE;"""600 MG COMPRESSE EFFERVESCENTI"" 30 COMPRESSE IN TUBO PP";ZENTIVA ITALIA S.R.L.;19/12/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACICLINLABIALE;039105022;ACICLOVIR;"""50 MG/G MATITA CUTANEA"" APPLICATORE DA 2,5 G";FIDIA FARMACEUTICI S.P.A.;01/01/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D06BB03
ACICLINLABIALE;039105010;ACICLOVIR;"""50 MG/G CREMA"" TUBO DA 2 G";FIDIA FARMACEUTICI S.P.A.;15/11/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D06BB03
ACICLOVIR ALFASIGMA;034311074;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALFASIGMA;034311047;ACICLOVIR;"""8 % SOSPENSIONE ORALE"" FLACONE DA 100 ML";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALFASIGMA;034311023;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALMUS;033868023;ACICLOVIR;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE DA 100 ML";ALMUS S.R.L.;30/11/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO;036035032;ACICLOVIR;""" 400 MG/5 ML SOSPENSIONE ORALE "" FLACONE 100 ML";AUROBINDO PHARMA (ITALIA) S.R.L.;25/11/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO;036035018;ACICLOVIR;""" 800 MG COMPRESSE "" 35 COMPRESSE";AUROBINDO PHARMA (ITALIA) S.R.L.;20/09/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO PHARMA;046032049;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;19/11/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR DOROM;028467049;ACICLOVIR;1 FLAC. SCIROPPO 100 ML 8%;TEVA ITALIA S.R.L.;30/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR GIT;033429022;ACICLOVIR;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML SOSPENSIONE ORALE";S.F. GROUP S.R.L.;26/10/2015;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR PENSA;034583031;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";TOWA PHARMACEUTICAL S.P.A.;01/05/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR PENSA PHARMA;050312038;ACICLOVIR;"""800 mg COMPRESSE"" 35 COMPRESSE IN BLISTER AL/PVC";TOWA PHARMACEUTICAL S.P.A.;01/02/2026;30/06/2026;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR PENSA PHARMA;050312026;ACICLOVIR;"""400 mg COMPRESSE"" 25 COMPRESSE IN BLISTER AL/PVC";TOWA PHARMACEUTICAL S.P.A.;01/01/2026;30/06/2026;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277012;ACICLOVIR;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;08/12/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277063;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;28/02/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277036;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;28/02/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACIDO  IBANDRONICO PENSA;040833016;IBANDRONATO SODICO MONOIDRATO;""" 150 MG COMPRESSE RIVESTITE CON FILM "" 1 COMPRESSA IN BLISTER AL/AL";TOWA PHARMACEUTICAL S.P.A.;01/01/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO ACETILSALICILICO PANPHARMA;022620165;LISINA ACETILSALICILATO;"""500 mg/2,5 ml polvere e solvente  per  soluzione iniettabile» 6 flaconcini in vetro di polvere da 500 mg + 6 fiale  in vetro di solvente da 2,5 ml";PANMEDICA;26/10/2023;;No;Problemi produttivi;Rilasciata determinazione per l’importazione al titolare A.I.C.;Disponibili confezioni importate dal titolare per evadere ordini relativi a gare aggiudicate in corso di validità;A TOTALE CARICO DELL'ASSISTITO;N02BA01
ACIDO ACETILSALICILICO PANPHARMA;022620191;LISINA ACETILSALICILATO;"""1  g/5  ml  polvere  e  solvente  per  soluzione iniettabile» 6 flaconcini in vetro di polvere da 1 g  +  6  fiale  in vetro di solvente da 5 ml.";PANMEDICA;07/09/2022;;No;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;N02BA01
ACIDO ACETILSALICILICO TEVA ITALIA;042207011;ACIDO ACETILSALICILICO;""" 100 MG COMPRESSE GASTRO RESISTENTI "" 30 COMPRESSE IN BLISTER PVC-AL";TEVA ITALIA S.R.L.;10/10/2025;05/12/2025;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC06
ACIDO ACETILSALICILICO ZENTIVA ITALIA;049648013;ACIDO ACETILSALICILICO;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;31/01/2024;;Sì;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC06
ACIDO ALENDRONICO AUROBINDO;041256227;ACIDO ALENDRONICO;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;07/12/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA04
