NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
BUSULFAN TILLOMED;045540010;BUSULFAN;"""6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 10 ML";TILLOMED ITALIA SRL;25/08/2025;;Sì;Elevata richiesta;Rilasciata determinazione per l’importazione al titolare A.I.C.;confezioni importate dal titolare disponibili dal 03/09/2025;A CARICO DEL SSN AMBITO OSPED.;L01AB01
BYDUREON;041276015;EXENATIDE;"""2 MG-POLV.E SOLV.PER SOSP. INIETT.A RILASCIO PROLUNG.-USO SOTTOCUTANEO-POLV.: FLACONC. (VETRO),SOLV.:SIRINGA (VETRO)""4 X1KIT MONODOSE-1FLAC.+1SIRINGA";ASTRAZENECA AB;02/07/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ01
BYDUREON;041276039;EXENATIDE;2 MG - POLVERE E SOLVENTE PER SOSPENSIONE INIETTABILE A RILASCIO PROLUNGATO IN PENNA PRERIEMPITA  - USO SOTTOCUTANEO -  PENNA PRERIEMPITA (VETRO)  2 MG  IN 0,65 ML -  4 PENNE PRERIEMPITE MONODOSE 1 AGO PER INIEZIONE DI RISERVA;ASTRAZENECA AB;30/11/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ01
BYDUREON;041276054;EXENATIDE;2 MG - SOSPENSIONE INIETTABILE A RILASCIO PROLUNGATO - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA - 0,85 ML (2,35 MG/ML) - 4 PENNE PRERIEMPITE;ASTRAZENECA AB;30/09/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ01
BYETTA;037568033;EXENATIDE;"""10 MICROGRAMMI SOLUZIONE INIETTABILE - USO SOTTOCUTANEO- PENNA PRERIEMPITA (VETRO)""  -2,4 ML -1 PENNA PRERIEMPITA";ASTRAZENECA AB;30/06/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ01
BYETTA;037568019;EXENATIDE;"""5 MICROGRAMMI SOLUZIONE INETTABILE - USO SOTTOCUTANEO PENNA PRERIEMPITA (VETRO)"" -1,2 ML-1 PENNA PRERIEMPITA";ASTRAZENECA AB;30/06/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ01
BYSABEL;041044114;BILASTINA;"""6 mg/ml COLLIRIO, SOLUZIONE"" 1 FLACONE DA 5 ML IN LDPE CON CONTAGOCCE MULTIDOSE HDPE";MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG S.A.;01/03/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01GX13
CABAZITAXEL TEVA ITALIA;050156013;CABAZITAXEL;"""10 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 6 ML";TEVA B.V.;30/06/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01CD04
CABERGOLINA AUROBINDO;050868025;CABERGOLINA;"""0.5 MG COMPRESSE"" 8 COMPRESSE IN FLACONE HDPE CON CHIUSURA A PROVA DI BAMBINO";AUROBINDO PHARMA (ITALIA) S.R.L.;14/10/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G02CB03
CAFERGOT;008701031;CAFFEINA + ERGOTAMINA;"""2 MG + 100 MG SUPPOSTE"" 5 SUPPOSTE";AMDIPHARM LTD;31/03/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02CA52
CALCIO CARBONATO + VITAMINA D3 PENSA;034800019;CALCIO + COLECALCIFEROLO;"""1000 MG + 880 U.I. GRANULATO EFFERVESCENTE"" 30 BUSTINE";TOWA PHARMACEUTICAL S.P.A.;20/02/2023;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A12AX
CALCIO CARBONATO E VITAMINA D3 AUROBINDO;034871018;CALCIO + COLECALCIFEROLO;"""1000 MG + 880 U.I. GRANULATO EFFERVESCENTE"" 30 BUSTINE";AUROBINDO PHARMA (ITALIA) S.R.L.;17/04/2023;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A12AX
CALCIO FOLINATO SANDOZ;028367011;CALCIO FOLINATO;10 COMPRESSE 15 MG;SANDOZ S.P.A.;23/11/2025;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V03AF03
CALCIO GLUCONATO BIOINDUSTRIA L.I.M.;031177052;CALCIO GLUCONATO;"""1000 MG/10 ML SOLUZIONE PER INFUSIONE"" 10 FIALE DA 10 ML";BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.;19/03/2025;31/10/2025;Sì;Elevata richiesta: distribuzione contingentata;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;A12AA03
CALCIO SAVIO;032344020;CALCIO CARBONATO;30 BUSTINE GRANULATO EFFERVESC. USO ORALE 2500 MG;I.B.N. SAVIO S.R.L;31/12/2023;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A12AA04
CALCIPARINA;022579193;EPARINA CALCICA;"""12500 UI/0,5 ML SOLUZIONE INIETTABILE PER USO SOTTOCUTANEO"" 10 FIALE";ITALFARMACO S.P.A.;03/05/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AB01
CALCIPARINA;022579128;EPARINA CALCICA;"""5000 UI/0,2 ML SOLUZIONE INIETTABILE PER USO SOTTOCUTANEO"" 10 FIALE";ITALFARMACO S.P.A.;03/05/2016;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AB01
CALCITRIOLO DOC GENERICI;035237015;CALCITRIOLO;"""0,25 MICROGRAMMI CAPSULE MOLLI"" 30 CAPSULE";DOC GENERICI SRL;19/04/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A11CC04
CALCITRIOLO DOC GENERICI;035237027;CALCITRIOLO;"""0,50 MICROGRAMMI CAPSULE MOLLI"" 30 CAPSULE";DOC GENERICI SRL;21/06/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A11CC04
CALCITRIOLO EG;035238043;CALCITRIOLO;"""0,50 MICROGRAMMI CAPSULE MOLLI"" 30 CAPSULE IN BLISTER PVC/PVDC/AL";EG S.P.A.;31/05/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A11CC04
CALCITRIOLO EG;035238031;CALCITRIOLO;"""0,25 MICROGRAMMI CAPSULE MOLLI"" 30 CAPSULE IN BLISTER PVC/PVDC/AL";EG S.P.A.;30/06/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A11CC04
CALCITRIOLO MYLAN GENERICS;035102019;CALCITRIOLO;"""0,25 MICROGRAMMI CAPSULE MOLLI"" 30 CAPSULE";MYLAN S.P.A.;15/12/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A11CC04
CALCIUM SANDOZ;005259041;CALCIO;"""1000 MG GRANULATO EFFERVESCENTE"" 30 BUSTINE";SANDOZ S.P.A.;23/12/2020;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A12AA20
CALISVIT;023651058;CALCIO FOSFATO TRIBASICO + COLECALCIFEROLO;"""200 U.I. POLVERE E SOLVENTE PER SOSPENSIONE ORALE"" 10 FLACONCINI";A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.;31/12/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A12AX
CALMINEMED;044275042;DICLOFENAC SODICO;""" 140 MG CEROTTI MEDICATI "" 7 CEROTTI IN CARTA/PE/AL/COPOLIMERO ETILENE-ACIDO METACRILICO";IBSA FARMACEUTICI ITALIA S.R.L.;01/07/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M02AA15
CANACID;037235076;FLUCONAZOLO;«200  mg  capsule  rigide»  7  capsule  in blister PVC/PVDC/AL;I.G. FARMACEUTICI DI IRIANNI GIUSEPPE;30/09/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC01
CANACID;037235052;FLUCONAZOLO;«100 mg  capsule  rigide»  10  capsule  in blister PVC/PVDC/AL;I.G. FARMACEUTICI DI IRIANNI GIUSEPPE;30/09/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J02AC01
CANCIDAS;035493016;CASPOFUNGIN;50 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE ENDOVENOSA 1 FLACONCINO 10 ML;MERCK SHARP & DOHME B.V.;30/05/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CANCIDAS;035493030;CASPOFUNGIN;70 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE ENDOVENOSA 1 FLACONCINO 10 ML;MERCK SHARP & DOHME B.V.;31/07/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CANDESARTAN AUROBINDO;042841039;CANDESARTAN CILEXETIL;"""32MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/PVDC-AL";AUROBINDO PHARMA (ITALIA) S.R.L.;31/10/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN E IDROCLOROTIAZIDE TEVA ITALIA;040868491;CANDESARTAN + IDROCLOROTIAZIDE;"""32/25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER AL/AL";TEVA ITALIA S.R.L.;18/04/2025;30/11/2025;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA06
CANDESARTAN E IDROCLOROTIAZIDE ZENTIVA;041448111;CANDESARTAN + IDROCLOROTIAZIDE;""" 16 MG/12,5MG COMPRESSE "" 28 COMPRESSE IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;01/11/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA06
CANDESARTAN E IDROCLOROTIAZIDE ZENTIVA ITALIA;041786070;CANDESARTAN CILEXETIL + IDROCLOROTIAZIDE;"""32/25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER OPA/AL/PVC-AL";ZENTIVA ITALIA S.R.L.;12/12/2022;;Sì;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09DA06
CANDESARTAN EG;041376486;CANDESARTAN CILEXETIL;"""32 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";EG S.P.A.;01/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN EG;041376310;CANDESARTAN CILEXETIL;"""16 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";EG S.P.A.;01/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN EG;041376144;CANDESARTAN CILEXETIL;"""8 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";EG S.P.A.;01/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN MYLAN PHARMA;040913131;CANDESARTAN CILEXETIL;""" 16 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/PVDC/AL";MYLAN S.P.A.;30/09/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN MYLAN PHARMA;040913081;CANDESARTAN CILEXETIL;""" 8 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/PVDC/AL";MYLAN S.P.A.;30/09/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN MYLAN PHARMA;040913182;CANDESARTAN CILEXETIL;""" 32 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC/PVDC/AL";MYLAN S.P.A.;28/02/2026;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN ZENTIVA;041259110;CANDESARTAN CILEXETIL;"""8 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";ZENTIVA ITALIA S.R.L.;31/05/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN ZENTIVA;041259274;CANDESARTAN CILEXETIL;"""32 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";ZENTIVA ITALIA S.R.L.;31/08/2022;;Sì;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANDESARTAN ZENTIVA;041259197;CANDESARTAN CILEXETIL;"""16 MG COMPRESSE"" 28 COMPRESSE IN BLISTER PVC-PVDC/AL";ZENTIVA ITALIA S.R.L.;28/02/2025;;Sì;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09CA06
CANEPHRON;048130013;CENTAUREA MINORE + ROSMARINO FOGLIE                                                                                           + SEDANO ESTRATTO SECCO;"""COMPRESSE RIVESTITE"" 30 COMPRESSE IN BLISTER PVC/PVDC/AL";BIONORICA SE;01/01/2025;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BX
CAPECITABINA ACCORD;042640058;CAPECITABINA;150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 60 COMPRESSE;ACCORD HEALTHCARE, S.L.U.;01/12/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA ACCORD;042640110;CAPECITABINA;300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 60 COMPRESSE;ACCORD HEALTHCARE, S.L.U.;01/12/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA ACCORD;042640185;CAPECITABINA;500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 120 COMPRESSE;ACCORD HEALTHCARE, S.L.U.;01/12/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA ACCORD;042640274;CAPECITABINA;500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 120X1 COMPRESSE (DOSE UNITARIA);ACCORD HEALTHCARE, S.L.U.;11/02/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA ACCORD;042640209;CAPECITABINA;150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 60X1 COMPRESSE (DOSE UNITARIA);ACCORD HEALTHCARE, S.L.U.;31/12/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA MEDAC;042501181;CAPECITABINA;"""300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)"" 60 COMPRESSE";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;01/04/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA MEDAC;042501357;CAPECITABINA;"""500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)"" 120 COMPRESSE";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;01/05/2025;31/12/2025;Sì;Problemi produttivi: distribuzione contingentata;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA MYLAN;041927029;CAPECITABINA;"""150 MG COMPRESSE RIVESTITE CON FILM"" 60 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";MYLAN S.P.A.;31/12/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA TEVA;042286029;CAPECITABINA;"""500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU)"" 120 COMRESSE";TEVA B.V.;01/05/2015;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA TEVA;042286017;CAPECITABINA;"""150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU)"" 60 COMRESSE";TEVA B.V.;01/06/2015;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L01BC06
CAPECITABINA ZENTIVA;041928045;CAPECITABINA;"""500 MG COMPRESSE RIVESTITE CON FILM"" 120 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";ZENTIVA ITALIA S.R.L.;26/05/2023;;Sì;Elevata richiesta;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;L01BC06
CAPTOPRIL EG;035036159;CAPTOPRIL;50  COMPRESSE IN BLISTER PVC/AL DA 25 MG;EG S.P.A.;31/08/2024;;Sì;Elevata richiesta;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;C09AA01
CAPTOPRIL EG;035036161;CAPTOPRIL;24  COMPRESSE IN BLISTER PVC/AL DA 50  MG;EG S.P.A.;01/01/2026;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09AA01
CARBAMAZEPINA ZENTIVA;047982018;CARBAMAZEPINA;"""200 MG COMPRESSE A RILASCIO PROLUNGATO"" 30 COMPRESSE IN BLISTER AL-PVC/PE/PVDC";ZENTIVA ITALIA S.R.L.;31/05/2023;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;N03AF01
CARBAMAZEPINA ZENTIVA;047982069;CARBAMAZEPINA;"""400 MG COMPRESSE A RILASCIO PROLUNGATO"" 30 COMPRESSE IN BLISTER AL-PVC/PE/PVDC";ZENTIVA ITALIA S.R.L.;30/04/2023;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;N03AF01
CARBOCISTEINA IPSO PHARMA;037944016;CARBOCISTEINA SALE DI LISINA;«2,7 g granulato per soluzione orale in bustina» 30 bustine in PAPER/AL/PE;IPSO PHARMA S.R.L.;12/01/2018;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB03
CARBOCISTEINA IPSO PHARMA;037944028;CARBOCISTEINA SALE DI LISINA;""" 2,7 G/ 10 ML SCIROPPO "" 6 CONTENITORI MONODOSE";IPSO PHARMA S.R.L.;12/01/2018;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB03
CARBOCISTEINA IPSO PHARMA;037944030;CARBOCISTEINA SALE DI LISINA;""" 90 MG/ ML SCIROPPO "" 1 FLACONE DA 200 ML";IPSO PHARMA S.R.L.;12/01/2018;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB03
CARBOPLATINO AHCL;039263049;CARBOPLATINO;"""10 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 60 ML";ACCORD HEALTHCARE BV;16/05/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO AHCL;039263025;CARBOPLATINO;"""10 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 15 ML";ACCORD HEALTHCARE BV;20/03/2024;;Sì;Problemi produttivi: forniture discontinue;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO AHCL;039263037;CARBOPLATINO;"""10 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 45 ML";ACCORD HEALTHCARE BV;29/11/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO MEDAC;050385020;CARBOPLATINO;"""10 mg/ml CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 15 ML";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;10/07/2025;;Sì;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO MEDAC;050385018;CARBOPLATINO;"""10 mg/ml CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 5 ML";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;10/07/2025;;Sì;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO PFIZER;032776039;CARBOPLATINO;"""450 MG/45 ML SOLUZIONE PER INFUSIONE "" FLACONE 45 ML";PFIZER ITALIA S.R.L.;16/12/2024;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO PFIZER;032776027;CARBOPLATINO;"""150 MG/15 ML SOLUZIONE PER INFUSIONE "" 1 FLACONE 15 ML";PFIZER ITALIA S.R.L.;31/07/2025;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA02
CARBOPLATINO TEVA;034347017;CARBOPLATINO;1 FLACONE IV 5 ML 10 MG/ML;TEVA PHARMA B.V.;01/07/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;Da 01/07/25 saranno disponibili su richiesta confezioni con validità ridotta (scadenza 31/10/25);A TOTALE CARICO DELL'ASSISTITO;L01XA02
