codice_aic;principio_attivo;quantita;unita_misura
000701058;FITOTERAPICI/FENOLFTALEINA;;
000701060;FITOTERAPICI/FENOLFTALEINA;;
000701072;N.D.;0;N.D.
000701084;N.D.;0;N.D.
000703013;N.D.;0;N.D.
000745012;N.D.;0;N.D.
000750012;LIEVITO DI BIRRA/COMPLESSO VITAMINICO;;
000750024;LIEVITO DI BIRRA/COMPLESSO VITAMINICO;;
000750036;LIEVITO DI BIRRA/COMPLESSO VITAMINICO;;
000761015;ACIDO ASCORBICO;;
000761027;ACIDO ASCORBICO;;
000761039;N.D.;0;N.D.
000762017;N.D.;0;N.D.
000763019;NAFAZOLINA CLORIDRATO;;
000763021;NAFAZOLINA CLORIDRATO;;
000781017;N.D.;0;N.D.
000781029;TERPINA IDRATA/EFEDRINA CLORIDRATO/BALSAMO DEL TOLU';;
000794014;N.D.;0;N.D.
000794026;N.D.;0;N.D.
000816013;ACIDO ASCORBICO;;
000816025;ACIDO ASCORBICO;;
000827016;N.D.;0;N.D.
000827028;N.D.;0;N.D.
000827030;N.D.;0;N.D.
000834010;NICOTINAMIDE/INOSITOLO/FITOTERAPICI;;
000834022;NICOTINAMIDE/INOSITOLO/FITOTERAPICI;;
000846016;AMINOFILLINA;;
000846028;AMINOFILLINA;;
000846030;AMINOFILLINA;;
000846042;AMINOFILLINA;;
000850014;COMPLESSO VITAMINICO;;
000850026;COMPLESSO VITAMINICO;;
000850038;COMPLESSO VITAMINICO;;N.D.
000850040;COMPLESSO VITAMINICO;;
000850053;COMPLESSO VITAMINICO;;
000850065;COMPLESSO VITAMINICO;;
000850103;COMPLESSO VITAMINICO;;N.D.
000850115;COMPLESSO VITAMINICO;;
000850127;COMPLESSO VITAMINICO;;
000864013;MAGNESIO IDROSSIDO;;
000864025;MAGNESIO IDROSSIDO/SODIO BICARBONATO;;
000872010;EFEDRINA ANIDRA/EUCALIPTOLO/NIAOULI ESSENZA;;millilitre
000872022;EFEDRINA ANIDRA/EUCALIPTOLO/NIAOULI ESSENZA;;
000872034;EFEDRINA ANIDRA/EUCALIPTOLO/NIAOULI ESSENZA;;millilitre
000872046;EFEDRINA ANIDRA/EUCALIPTOLO/NIAOULI ESSENZA;;grammi
000872059;EFEDRINA ANIDRA/EUCALIPTOLO/NIAOULI ESSENZA;;grammi
000873012;N.D.;0;N.D.
000874014;N.D.;0;N.D.
000875017;N.D.;0;N.D.
000875029;N.D.;0;N.D.
000878013;SULFOGUAIACOLO/SODIO BENZOATO/BALSAMO DEL TOLU'/GRINDELIA;1;percent
000878025;SULFOGUAIACOLO/SODIO BENZOATO/BALSAMO DEL TOLU'/GRINDELIA;1;percent
000878037;N.D.;0;N.D.
000878049;N.D.;0;N.D.
000878052;SULFOGUAIACOLO/SODIO BENZOATO;;
000878064;SULFOGUAIACOLO/SODIO BENZOATO;;
000903017;N.D.;0;N.D.
000906014;COLECALCIFEROLO;;
000917017;BISBUTILCARBOETILENE;;
000976011;N.D.;0;N.D.
000976023;N.D.;0;N.D.
001032010;MENADIOLO SODIO SOLFATO;;
001032022;MENADIOLO SODIO SOLFATO;;
001032034;MENADIOLO SODIO SOLFATO;;
001032046;MENADIOLO SODIO SOLFATO;;
001042011;N.D.;0;N.D.
001042023;VALERIANA;1000;MG
001042023;VALERIANA;1000;milligrammi
001042035;VALERIANA;;
001042047;VALERIANA;1000;milligrammi
001042047;VALERIANA;1000;MG
001053014;DIFENIDRAMINA CLORIDRATO;;
001053026;DIFENIDRAMINA CLORIDRATO;;
001061011;COMPLESSO VITAMINICO;;
001061023;N.D.;0;N.D.
001063015;N.D.;0;N.D.
001063027;N.D.;0;N.D.
001063039;N.D.;0;N.D.
001063041;METILE NICOTINATO/GLICOLE SALICILATO;;
001063054;METILE NICOTINATO/GLICOLE SALICILATO;;
001063066;METILE NICOTINATO/GLICOLE SALICILATO;;grammi
001063078;METILE NICOTINATO/GLICOLE SALICILATO;;grammi
001063080;METILE NICOTINATO/GLICOLE SALICILATO;;grammi
001066012;N.D.;0;N.D.
001066024;N.D.;0;N.D.
001066036;SULFOGUAIACOLO;;
001071012;N.D.;0;N.D.
001076013;N.D.;0;N.D.
001088018;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088020;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088032;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088044;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088057;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088069;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088071;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088083;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088095;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088107;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;MG
001088107;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;milligrammi
001088119;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088121;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088133;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088145;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088158;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088160;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088172;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;;
001088184;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;milligrammi
001088184;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;MG
001088196;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;MG
001088196;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;milligrammi
001088208;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;2050;milligrammi
001088208;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;2050;MG
001088210;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;2050;MG
001088210;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;2050;milligrammi
001088222;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;milligrammi
001088222;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;MG
001088234;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;milligrammi
001088234;ACIDO ACETILSALICILICO/CAFFEINA/ALLUMINIO IDROSSIDO;1420;MG
001113012;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001113024;N.D.;0;N.D.
001113036;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001113048;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001113051;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001113063;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001113075;BOLDO/CARCIOFO/RABARBARO/CASCARA/CAMOMILLA;;
001114014;N.D.;0;N.D.
001174010;FERMENTI LATTICI;;
001174022;FERMENTI LATTICI;;
001177017;RUSCOGENINA/TETRACAINA CLORIDRATO;;
001181015;VACCINO INFLUENZALE INATTIVATO;;
001181027;VACCINO INFLUENZALE INATTIVATO;;
001181039;VACCINO INFLUENZALE INATTIVATO;;
001181041;VACCINO INFLUENZALE INATTIVATO;;
001181054;VACCINO INFLUENZALE INATTIVATO;;
001181066;VACCINO INFLUENZALE INATTIVATO;;
001181078;VACCINO INFLUENZALE INATTIVATO;;
001181080;VACCINO INFLUENZALE INATTIVATO;;
001181092;VACCINO INFLUENZALE INATTIVATO;;
001181104;VACCINO INFLUENZALE INATTIVATO;;
001181116;VACCINO INFLUENZALE INATTIVATO;;
001181128;VACCINO INFLUENZALE INATTIVATO;;
001181130;VACCINO INFLUENZALE INATTIVATO;;
001181142;VACCINO INFLUENZALE INATTIVATO;;
001195015;N.D.;0;N.D.
001195027;N.D.;0;N.D.
001195039;N.D.;0;N.D.
001195041;N.D.;0;N.D.
001216011;N.D.;0;N.D.
001217013;N.D.;0;N.D.
001217025;N.D.;0;N.D.
001234018;COMPLESSO VITAMINICO;;
001234020;COMPLESSO VITAMINICO;;
001234032;COMPLESSO VITAMINICO;;
001234044;COMPLESSO VITAMINICO;;
001234057;COMPLESSO VITAMINICO;;
001234069;COMPLESSO VITAMINICO;;
001234071;COMPLESSO VITAMINICO;;
