codice_aic;principio_attivo;quantita;unita_misura
037354040;SIMVASTATINA;;
037355017;AMLODIPINA BESILATO;5;milligrammi
037355017;AMLODIPINA BESILATO;5;MG
037355029;AMLODIPINA BESILATO;5;MG
037355029;AMLODIPINA BESILATO;5;milligrammi
037355031;AMLODIPINA BESILATO;5;MG
037355031;AMLODIPINA BESILATO;5;milligrammi
037355043;AMLODIPINA BESILATO;5;MG
037355043;AMLODIPINA BESILATO;5;milligrammi
037355056;AMLODIPINA BESILATO;5;milligrammi
037355056;AMLODIPINA BESILATO;5;MG
037355068;AMLODIPINA BESILATO;5;MG
037355068;AMLODIPINA BESILATO;5;milligrammi
037355070;AMLODIPINA BESILATO;5;milligrammi
037355070;AMLODIPINA BESILATO;5;MG
037355082;AMLODIPINA BESILATO;5;MG
037355082;AMLODIPINA BESILATO;5;milligrammi
037355094;AMLODIPINA BESILATO;10;milligrammi
037355094;AMLODIPINA BESILATO;10;MG
037355106;AMLODIPINA BESILATO;10;milligrammi
037355106;AMLODIPINA BESILATO;10;MG
037355118;AMLODIPINA BESILATO;10;MG
037355118;AMLODIPINA BESILATO;10;milligrammi
037355120;AMLODIPINA BESILATO;10;milligrammi
037355120;AMLODIPINA BESILATO;10;MG
037355132;AMLODIPINA BESILATO;10;MG
037355132;AMLODIPINA BESILATO;10;milligrammi
037355144;AMLODIPINA BESILATO;10;milligrammi
037355144;AMLODIPINA BESILATO;10;MG
037355157;AMLODIPINA BESILATO;10;milligrammi
037355157;AMLODIPINA BESILATO;10;MG
037355169;AMLODIPINA BESILATO;10;milligrammi
037355169;AMLODIPINA BESILATO;10;MG
037356019;CETIRIZINA DICLORIDRATO;10;MG
037356019;CETIRIZINA DICLORIDRATO;10;milligrammi
037356021;CETIRIZINA DICLORIDRATO;10;milligram(s)/millilitre
037356033;CETIRIZINA DICLORIDRATO;10;milligrammi
037356033;CETIRIZINA DICLORIDRATO;10;MG
037357011;SIMVASTATINA;10;MG
037357011;SIMVASTATINA;10;milligrammi
037357023;SIMVASTATINA;20;milligrammi
037357023;SIMVASTATINA;20;MG
037357035;SIMVASTATINA;20;MG
037357035;SIMVASTATINA;20;milligrammi
037357047;SIMVASTATINA;40;milligrammi
037357047;SIMVASTATINA;40;MG
037357050;SIMVASTATINA;40;MG
037357050;SIMVASTATINA;40;milligrammi
037358013;SIMVASTATINA;10;MG
037358013;SIMVASTATINA;10;milligrammi
037358025;SIMVASTATINA;20;MG
037358025;SIMVASTATINA;20;milligrammi
037358037;SIMVASTATINA;20;MG
037358037;SIMVASTATINA;20;milligrammi
037358049;SIMVASTATINA;40;milligrammi
037358049;SIMVASTATINA;40;MG
037358052;SIMVASTATINA;40;MG
037358052;SIMVASTATINA;40;milligrammi
037359015;SIMVASTATINA;20;milligrammi
037359015;SIMVASTATINA;20;MG
037359027;SIMVASTATINA;20;milligrammi
037359027;SIMVASTATINA;20;MG
037359039;SIMVASTATINA;20;MG
037359039;SIMVASTATINA;20;milligrammi
037359041;SIMVASTATINA;20;MG
037359041;SIMVASTATINA;20;milligrammi
037360017;PIPERACILLINA;;
037360017;TAZOBACTAM;;
037360029;PIPERACILLINA;;
037360029;TAZOBACTAM;;
037361019;RIFAXIMINA;200;MG
037361019;RIFAXIMINA;200;milligrammi
037362011;IDROCLOROTIAZIDE;12.5;MG
037362011;IDROCLOROTIAZIDE;12.5;milligrammi
037362023;IDROCLOROTIAZIDE;12.5;MG
037362023;IDROCLOROTIAZIDE;12.5;milligrammi
037363013;N.D.;0;N.D.
037364015;SIMVASTATINA;10;milligrammi
037364015;SIMVASTATINA;10;MG
037364027;SIMVASTATINA;20;milligrammi
037364027;SIMVASTATINA;20;MG
037364039;SIMVASTATINA;20;milligrammi
037364039;SIMVASTATINA;20;MG
037364041;SIMVASTATINA;40;MG
037364041;SIMVASTATINA;40;milligrammi
037364054;SIMVASTATINA;40;MG
037364054;SIMVASTATINA;40;milligrammi
037365018;SOMATOSTATINA ACETATO;1.5;milligram(s)/millilitre
037366010;N.D.;0;N.D.
037366022;LISINOPRIL DIIDRATO;5;MG
037366022;LISINOPRIL DIIDRATO;5;milligrammi
037366034;LISINOPRIL;5;milligrammi
037366034;LISINOPRIL;5;MG
037366046;LISINOPRIL;10;milligrammi
037366046;LISINOPRIL;10;MG
037366059;LISINOPRIL DIIDRATO;20;MG
037366059;LISINOPRIL DIIDRATO;20;milligrammi
037366061;LISINOPRIL DIIDRATO;;
037367012;SIMVASTATINA;10;milligrammi
037367012;SIMVASTATINA;10;MG
037367024;SIMVASTATINA;20;milligrammi
037367024;SIMVASTATINA;20;MG
037367036;SIMVASTATINA;20;MG
037367036;SIMVASTATINA;20;milligrammi
037367048;SIMVASTATINA;40;MG
037367048;SIMVASTATINA;40;milligrammi
037367051;SIMVASTATINA;40;milligrammi
037367051;SIMVASTATINA;40;MG
037368014;N.D.;0;N.D.
037368026;N.D.;0;N.D.
037368038;N.D.;0;N.D.
037368040;N.D.;0;N.D.
037368053;N.D.;0;N.D.
037368065;N.D.;0;N.D.
037368077;N.D.;0;N.D.
037368089;N.D.;0;N.D.
037368091;N.D.;0;N.D.
037369016;IDROCLOROTIAZIDE;;
037369016;QUINAPRIL;;
037369028;IDROCLOROTIAZIDE;;
037369028;QUINAPRIL;;
037369030;IDROCLOROTIAZIDE;;
037369030;QUINAPRIL;;
037369042;QUINAPRIL;;
037369042;IDROCLOROTIAZIDE;;
037369055;IDROCLOROTIAZIDE;;
037369055;QUINAPRIL;;
037369067;IDROCLOROTIAZIDE;;
037369067;QUINAPRIL;;
037369079;QUINAPRIL;;
037369079;IDROCLOROTIAZIDE;;
037369081;QUINAPRIL;;
037369081;IDROCLOROTIAZIDE;;
037369093;IDROCLOROTIAZIDE;;
037369093;QUINAPRIL;;
037369105;IDROCLOROTIAZIDE;;
037369105;QUINAPRIL;;
037369117;QUINAPRIL;;
037369117;IDROCLOROTIAZIDE;;
037369129;IDROCLOROTIAZIDE;;
037369129;QUINAPRIL;;
037369131;QUINAPRIL;;
037369131;IDROCLOROTIAZIDE;;
037369143;IDROCLOROTIAZIDE;;
037369143;QUINAPRIL;;
037369156;IDROCLOROTIAZIDE;;
037369156;QUINAPRIL;;
037369168;QUINAPRIL;;
037369168;IDROCLOROTIAZIDE;;
037369170;IDROCLOROTIAZIDE;;
037369170;QUINAPRIL;;
037369182;QUINAPRIL;;
037369182;IDROCLOROTIAZIDE;;
037369194;IDROCLOROTIAZIDE;;
037369194;QUINAPRIL;;
037369206;IDROCLOROTIAZIDE;;
037369206;QUINAPRIL;;
037369218;IDROCLOROTIAZIDE;;
037369218;QUINAPRIL;;
037369220;IDROCLOROTIAZIDE;;
037369220;QUINAPRIL;;
037369232;QUINAPRIL;;
037369232;IDROCLOROTIAZIDE;;
037369244;IDROCLOROTIAZIDE;;
037369244;QUINAPRIL;;
037369257;IDROCLOROTIAZIDE;;
037369257;QUINAPRIL;;
037369269;QUINAPRIL;;
037369269;IDROCLOROTIAZIDE;;
037369271;IDROCLOROTIAZIDE;;
037369271;QUINAPRIL;;
037369283;QUINAPRIL;;
037369283;IDROCLOROTIAZIDE;;
037369295;IDROCLOROTIAZIDE;;
037369295;QUINAPRIL;;
037369307;IDROCLOROTIAZIDE;;
037369307;QUINAPRIL;;
037369319;IDROCLOROTIAZIDE;;
037369319;QUINAPRIL;;
037369321;IDROCLOROTIAZIDE;;
037369321;QUINAPRIL;;
037369333;IDROCLOROTIAZIDE;;
037369333;QUINAPRIL;;
037369345;QUINAPRIL;;
037369345;IDROCLOROTIAZIDE;;
037369358;QUINAPRIL;;
037369358;IDROCLOROTIAZIDE;;
037369360;QUINAPRIL;;
037369360;IDROCLOROTIAZIDE;;
037370018;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370020;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370032;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370044;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370057;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370069;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370071;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037370083;AMOXICILLINA TRIIDRATA/POTASSIO CLAVULANATO;1;grammi
037371010;ENALAPRIL MALEATO;20;milligrammi
037371010;ENALAPRIL MALEATO;20;MG
037371022;ENALAPRIL MALEATO;20;MG
037371022;ENALAPRIL MALEATO;20;milligrammi
037371034;ENALAPRIL MALEATO;20;MG
037371034;ENALAPRIL MALEATO;20;milligrammi
037371046;ENALAPRIL MALEATO;20;MG
037371046;ENALAPRIL MALEATO;20;milligrammi
037371059;ENALAPRIL MALEATO;20;milligrammi
037371059;ENALAPRIL MALEATO;20;MG
037371061;ENALAPRIL MALEATO;20;MG
037371061;ENALAPRIL MALEATO;20;milligrammi
037371073;ENALAPRIL MALEATO;20;MG
037371073;ENALAPRIL MALEATO;20;milligrammi
037371085;ENALAPRIL MALEATO;20;milligrammi
037371085;ENALAPRIL MALEATO;20;MG
037371097;ENALAPRIL MALEATO;20;MG
037371097;ENALAPRIL MALEATO;20;milligrammi
037371109;ENALAPRIL MALEATO;20;MG
037371109;ENALAPRIL MALEATO;20;milligrammi
037371111;ENALAPRIL MALEATO;20;MG
037371111;ENALAPRIL MALEATO;20;milligrammi
037371123;ENALAPRIL MALEATO;20;milligrammi
037371123;ENALAPRIL MALEATO;20;MG
037371135;ENALAPRIL MALEATO;20;MG
037371135;ENALAPRIL MALEATO;20;milligrammi
037371147;ENALAPRIL MALEATO;20;milligrammi
037371147;ENALAPRIL MALEATO;20;MG
037372012;TERBINAFINA CLORIDRATO;250;MG
037372012;TERBINAFINA CLORIDRATO;250;milligrammi
037372024;TERBINAFINA CLORIDRATO;250;MG
037372024;TERBINAFINA CLORIDRATO;250;milligrammi
037372036;TERBINAFINA CLORIDRATO;250;MG
037372036;TERBINAFINA CLORIDRATO;250;milligrammi
037372048;TERBINAFINA CLORIDRATO;250;milligrammi
037372048;TERBINAFINA CLORIDRATO;250;MG
037372051;TERBINAFINA CLORIDRATO;250;MG
037372051;TERBINAFINA CLORIDRATO;250;milligrammi
037373014;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373014;TAMSULOSINA CLORIDRATO;0.4;MG
037373026;TAMSULOSINA CLORIDRATO;0.4;MG
037373026;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373038;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373038;TAMSULOSINA CLORIDRATO;0.4;MG
037373040;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373040;TAMSULOSINA CLORIDRATO;0.4;MG
037373053;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373053;TAMSULOSINA CLORIDRATO;0.4;MG
037373065;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373065;TAMSULOSINA CLORIDRATO;0.4;MG
037373077;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373077;TAMSULOSINA CLORIDRATO;0.4;MG
037373089;TAMSULOSINA CLORIDRATO;0.4;MG
037373089;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373091;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373091;TAMSULOSINA CLORIDRATO;0.4;MG
037373103;TAMSULOSINA CLORIDRATO;0.4;MG
037373103;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373115;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373115;TAMSULOSINA CLORIDRATO;0.4;MG
037373127;TAMSULOSINA CLORIDRATO;0.4;MG
037373127;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373139;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373139;TAMSULOSINA CLORIDRATO;0.4;MG
037373141;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373141;TAMSULOSINA CLORIDRATO;0.4;MG
037373154;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373154;TAMSULOSINA CLORIDRATO;0.4;MG
037373166;TAMSULOSINA CLORIDRATO;0.4;MG
037373166;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373178;TAMSULOSINA CLORIDRATO;0.4;MG
037373178;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373180;TAMSULOSINA CLORIDRATO;0.4;MG
037373180;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373192;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373192;TAMSULOSINA CLORIDRATO;0.4;MG
037373204;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373204;TAMSULOSINA CLORIDRATO;0.4;MG
037373216;TAMSULOSINA CLORIDRATO;0.4;MG
037373216;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373228;TAMSULOSINA CLORIDRATO;0.4;milligrammi
037373228;TAMSULOSINA CLORIDRATO;0.4;MG
037374016;CLARITROMICINA;;
037374028;CLARITROMICINA;250;MG
037374028;CLARITROMICINA;250;milligrammi
037374030;CLARITROMICINA;250;milligrammi
037374030;CLARITROMICINA;250;MG
037374042;CLARITROMICINA;250;MG
037374042;CLARITROMICINA;250;milligrammi
037374055;CLARITROMICINA;250;milligrammi
037374055;CLARITROMICINA;250;MG
037374067;CLARITROMICINA;250;MG
037374067;CLARITROMICINA;250;milligrammi
037374079;CLARITROMICINA;250;MG
037374079;CLARITROMICINA;250;milligrammi
037374081;CLARITROMICINA;250;MG
037374081;CLARITROMICINA;250;milligrammi
037374093;CLARITROMICINA;250;milligrammi
037374093;CLARITROMICINA;250;MG
037374105;CLARITROMICINA;250;MG
037374105;CLARITROMICINA;250;milligrammi
037374117;CLARITROMICINA;250;MG
037374117;CLARITROMICINA;250;milligrammi
037374129;CLARITROMICINA;250;MG
037374129;CLARITROMICINA;250;milligrammi
037374131;CLARITROMICINA;250;milligrammi
037374131;CLARITROMICINA;250;MG
037374143;CLARITROMICINA;250;MG
037374143;CLARITROMICINA;250;milligrammi
037374156;CLARITROMICINA;250;milligrammi
037374156;CLARITROMICINA;250;MG
037374168;CLARITROMICINA;250;MG
037374168;CLARITROMICINA;250;milligrammi
037374170;CLARITROMICINA;250;milligrammi
037374170;CLARITROMICINA;250;MG
037374182;CLARITROMICINA;250;milligrammi
037374182;CLARITROMICINA;250;MG
037374194;CLARITROMICINA;250;MG
037374194;CLARITROMICINA;250;milligrammi
037374206;CLARITROMICINA;250;milligrammi
037374206;CLARITROMICINA;250;MG
037374218;CLARITROMICINA;;
037374220;CLARITROMICINA;;
037374232;CLARITROMICINA;;
037374244;CLARITROMICINA;;
037374257;CLARITROMICINA;;
037374269;CLARITROMICINA;;
037374271;CLARITROMICINA;;
037374283;CLARITROMICINA;;
037374295;CLARITROMICINA;;
037374307;CLARITROMICINA;;
037374319;CLARITROMICINA;;
037374321;CLARITROMICINA;;
037374333;CLARITROMICINA;;
037374345;CLARITROMICINA;;
037374358;CLARITROMICINA;;
037374360;CLARITROMICINA;;
037374372;CLARITROMICINA;;
037374384;CLARITROMICINA;250;MG
037374384;CLARITROMICINA;250;milligrammi
037375019;DIETILAMINA SALICILATO;5;milligrammi
037375019;ESCINA;1;grammi
037375019;DIETILAMINA SALICILATO;5;MG
037375021;ESCINA;2;grammi
037375021;DIETILAMINA SALICILATO;5;grammi
037376011;DROSPIRENONE;3;MG
037376011;DROSPIRENONE;3;milligrammi
037376023;DROSPIRENONE;3;MG
037376023;DROSPIRENONE;3;milligrammi
037376035;DROSPIRENONE;3;MG
037376035;DROSPIRENONE;3;milligrammi
037376047;DROSPIRENONE;3;milligrammi
037376047;DROSPIRENONE;3;MG
037377013;CLOBETASOLO PROPIONATO;500;microgrammi
037377025;CLOBETASOLO PROPIONATO;500;microgrammi
037377037;CLOBETASOLO PROPIONATO;500;microgrammi
037377049;CLOBETASOLO PROPIONATO;500;microgrammi
037378015;ENALAPRIL;20;MG
037378015;IDROCLOROTIAZIDE;12.5;MG
037378015;IDROCLOROTIAZIDE;12.5;milligrammi
037378015;ENALAPRIL;20;milligrammi
037378027;ENALAPRIL;20;MG
037378027;IDROCLOROTIAZIDE;12.5;MG
037378027;IDROCLOROTIAZIDE;12.5;milligrammi
037378027;ENALAPRIL;20;milligrammi
037378039;IDROCLOROTIAZIDE;12.5;milligrammi
037378039;ENALAPRIL;20;MG
037378039;IDROCLOROTIAZIDE;12.5;MG
037378039;ENALAPRIL;20;milligrammi
037378041;IDROCLOROTIAZIDE;12.5;MG
037378041;IDROCLOROTIAZIDE;12.5;milligrammi
037378041;ENALAPRIL;20;MG
037378041;ENALAPRIL;20;milligrammi
037378054;ENALAPRIL;20;MG
037378054;IDROCLOROTIAZIDE;12.5;MG
037378054;ENALAPRIL;20;milligrammi
037378054;IDROCLOROTIAZIDE;12.5;milligrammi
037378066;ENALAPRIL;20;milligrammi
037378066;IDROCLOROTIAZIDE;12.5;milligrammi
037378066;ENALAPRIL;20;MG
037378066;IDROCLOROTIAZIDE;12.5;MG
037378078;ENALAPRIL;20;MG
037378078;IDROCLOROTIAZIDE;12.5;MG
037378078;IDROCLOROTIAZIDE;12.5;milligrammi
037378078;ENALAPRIL;20;milligrammi
037378080;ENALAPRIL;20;milligrammi
037378080;IDROCLOROTIAZIDE;12.5;milligrammi
037378080;IDROCLOROTIAZIDE;12.5;MG
037378080;ENALAPRIL;20;MG
037378092;ENALAPRIL;20;MG
037378092;ENALAPRIL;20;milligrammi
037378092;IDROCLOROTIAZIDE;12.5;MG
037378092;IDROCLOROTIAZIDE;12.5;milligrammi
037378104;ENALAPRIL;20;MG
037378104;ENALAPRIL;20;milligrammi
037378104;IDROCLOROTIAZIDE;12.5;MG
037378104;IDROCLOROTIAZIDE;12.5;milligrammi
037378116;ENALAPRIL;20;MG
037378116;IDROCLOROTIAZIDE;12.5;milligrammi
037378116;ENALAPRIL;20;milligrammi
037378116;IDROCLOROTIAZIDE;12.5;MG
037378128;ENALAPRIL;20;milligrammi
037378128;IDROCLOROTIAZIDE;12.5;milligrammi
037378128;ENALAPRIL;20;MG
037378128;IDROCLOROTIAZIDE;12.5;MG
037378130;ENALAPRIL;20;milligrammi
037378130;ENALAPRIL;20;MG
037378130;IDROCLOROTIAZIDE;12.5;milligrammi
037378130;IDROCLOROTIAZIDE;12.5;MG
037379017;PERFLUTRENO;1.5;millilitre
037379029;PERFLUTRENO;1.5;millilitre
037380019;FLUCONAZOLO;50;milligrammi
037380019;FLUCONAZOLO;50;MG
037380021;FLUCONAZOLO;50;milligrammi
037380021;FLUCONAZOLO;50;MG
037380033;FLUCONAZOLO;50;MG
037380033;FLUCONAZOLO;50;milligrammi
037380045;FLUCONAZOLO;50;milligrammi
037380045;FLUCONAZOLO;50;MG
037380058;FLUCONAZOLO;50;MG
037380058;FLUCONAZOLO;50;milligrammi
037380060;FLUCONAZOLO;50;MG
037380060;FLUCONAZOLO;50;milligrammi
037380072;FLUCONAZOLO;50;milligrammi
037380072;FLUCONAZOLO;50;MG
037380084;FLUCONAZOLO;50;milligrammi
037380084;FLUCONAZOLO;50;MG
037380096;FLUCONAZOLO;50;MG
037380096;FLUCONAZOLO;50;milligrammi
037380108;FLUCONAZOLO;100;MG
037380108;FLUCONAZOLO;100;milligrammi
037380110;FLUCONAZOLO;100;milligrammi
037380110;FLUCONAZOLO;100;MG
037380122;FLUCONAZOLO;100;MG
037380122;FLUCONAZOLO;100;milligrammi
037380134;FLUCONAZOLO;100;MG
037380134;FLUCONAZOLO;100;milligrammi
037380146;FLUCONAZOLO;100;milligrammi
037380146;FLUCONAZOLO;100;MG
037380159;FLUCONAZOLO;100;MG
037380159;FLUCONAZOLO;100;milligrammi
037380161;FLUCONAZOLO;100;milligrammi
037380161;FLUCONAZOLO;100;MG
037380173;FLUCONAZOLO;100;milligrammi
037380173;FLUCONAZOLO;100;MG
037380185;FLUCONAZOLO;100;MG
037380185;FLUCONAZOLO;100;milligrammi
037380197;FLUCONAZOLO;200;MG
037380197;FLUCONAZOLO;200;milligrammi
037380209;FLUCONAZOLO;200;MG
037380209;FLUCONAZOLO;200;milligrammi
037380211;FLUCONAZOLO;200;milligrammi
037380211;FLUCONAZOLO;200;MG
037380223;FLUCONAZOLO;200;MG
037380223;FLUCONAZOLO;200;milligrammi
037380235;FLUCONAZOLO;200;MG
037380235;FLUCONAZOLO;200;milligrammi
037380247;FLUCONAZOLO;200;MG
037380247;FLUCONAZOLO;200;milligrammi
037380250;FLUCONAZOLO;200;milligrammi
037380250;FLUCONAZOLO;200;MG
037380262;FLUCONAZOLO;200;milligrammi
037380262;FLUCONAZOLO;200;MG
037380274;FLUCONAZOLO;200;MG
037380274;FLUCONAZOLO;200;milligrammi
037380286;FLUCONAZOLO;150;milligrammi
037380286;FLUCONAZOLO;150;MG
037380298;FLUCONAZOLO;150;MG
037380298;FLUCONAZOLO;150;milligrammi
037380300;FLUCONAZOLO;150;milligrammi
037380300;FLUCONAZOLO;150;MG
037380312;FLUCONAZOLO;150;MG
037380312;FLUCONAZOLO;150;milligrammi
037380324;FLUCONAZOLO;150;MG
037380324;FLUCONAZOLO;150;milligrammi
037381163;AMINOACIDI;1.1;percent
037381175;AMINOACIDI;1.1;percent
037381213;AMINOACIDI;1.1;percent
037381237;AMINOACIDI;1.1;percent
037381252;AMINOACIDI;0.3;percent
037381264;AMINOACIDI;1.1;percent
037381302;AMINOACIDI;1.1;percent
037381326;AMINOACIDI;1.1;percent
037382013;IDROCLOROTIAZIDE;6;milligrammi
037382013;IDROCLOROTIAZIDE;6;MG
037382025;IDROCLOROTIAZIDE;6;MG
037382025;IDROCLOROTIAZIDE;6;milligrammi
037382037;IDROCLOROTIAZIDE;6;milligrammi
037382037;IDROCLOROTIAZIDE;6;MG
037382049;IDROCLOROTIAZIDE;6;milligrammi
037382049;IDROCLOROTIAZIDE;6;MG
037382052;IDROCLOROTIAZIDE;6;MG
037382052;IDROCLOROTIAZIDE;6;milligrammi
037382064;IDROCLOROTIAZIDE;6;milligrammi
037382064;IDROCLOROTIAZIDE;6;MG
037382076;IDROCLOROTIAZIDE;6;milligrammi
037382076;IDROCLOROTIAZIDE;6;MG
037382088;IDROCLOROTIAZIDE;6;MG
037382088;IDROCLOROTIAZIDE;6;milligrammi
037382090;IDROCLOROTIAZIDE;6;MG
037382090;IDROCLOROTIAZIDE;6;milligrammi
037382102;IDROCLOROTIAZIDE;6;MG
037382102;IDROCLOROTIAZIDE;6;milligrammi
037382114;IDROCLOROTIAZIDE;6;MG
037382114;IDROCLOROTIAZIDE;6;milligrammi
037382126;IDROCLOROTIAZIDE;6;milligrammi
037382126;IDROCLOROTIAZIDE;6;MG
037382138;IDROCLOROTIAZIDE;6;milligrammi
037382138;IDROCLOROTIAZIDE;6;MG
037382140;IDROCLOROTIAZIDE;6;milligrammi
037382140;IDROCLOROTIAZIDE;6;MG
037382153;IDROCLOROTIAZIDE;6;milligrammi
037382153;IDROCLOROTIAZIDE;6;MG
037382165;IDROCLOROTIAZIDE;6;milligrammi
037382165;IDROCLOROTIAZIDE;6;MG
037382177;IDROCLOROTIAZIDE;6;MG
037382177;IDROCLOROTIAZIDE;6;milligrammi
037382189;IDROCLOROTIAZIDE;6;MG
037382189;IDROCLOROTIAZIDE;6;milligrammi
037382191;IDROCLOROTIAZIDE;6;milligrammi
037382191;IDROCLOROTIAZIDE;6;MG
037382203;IDROCLOROTIAZIDE;6;milligrammi
037382203;IDROCLOROTIAZIDE;6;MG
037382215;IDROCLOROTIAZIDE;6;milligrammi
037382215;IDROCLOROTIAZIDE;6;MG
037382227;IDROCLOROTIAZIDE;6;MG
037382227;IDROCLOROTIAZIDE;6;milligrammi
037382239;IDROCLOROTIAZIDE;6;milligrammi
037382239;IDROCLOROTIAZIDE;6;MG
037382241;IDROCLOROTIAZIDE;6;milligrammi
037382241;IDROCLOROTIAZIDE;6;MG
037383015;LATTULOSIO;67;grammi
037383027;LATTULOSIO;67;grammi
037383039;LATTULOSIO;67;grammi
037383041;LATTULOSIO;67;grammi
037383054;LATTULOSIO;67;grammi
037383066;LATTULOSIO;67;grammi
037383078;LATTULOSIO;67;grammi
037383080;LATTULOSIO;67;grammi
037384017;MIRTAZAPINA;15;MG
037384017;MIRTAZAPINA;15;milligrammi
037384029;MIRTAZAPINA;15;MG
037384029;MIRTAZAPINA;15;milligrammi
037384031;MIRTAZAPINA;15;milligrammi
037384031;MIRTAZAPINA;15;MG
037384043;MIRTAZAPINA;15;milligrammi
037384043;MIRTAZAPINA;15;MG
037384056;MIRTAZAPINA;15;MG
037384056;MIRTAZAPINA;15;milligrammi
037384068;MIRTAZAPINA;15;MG
037384068;MIRTAZAPINA;15;milligrammi
037384070;MIRTAZAPINA;15;MG
037384070;MIRTAZAPINA;15;milligrammi
037384082;MIRTAZAPINA;15;milligrammi
037384082;MIRTAZAPINA;15;MG
037384094;MIRTAZAPINA;15;MG
037384094;MIRTAZAPINA;15;milligrammi
037384106;MIRTAZAPINA;15;MG
037384106;MIRTAZAPINA;15;milligrammi
037384118;MIRTAZAPINA;15;MG
037384118;MIRTAZAPINA;15;milligrammi
037384120;MIRTAZAPINA;15;milligrammi
037384120;MIRTAZAPINA;15;MG
037384132;MIRTAZAPINA;15;milligrammi
037384132;MIRTAZAPINA;15;MG
037384144;MIRTAZAPINA;30;MG
037384144;MIRTAZAPINA;30;milligrammi
037384157;MIRTAZAPINA;30;milligrammi
037384157;MIRTAZAPINA;30;MG
037384169;MIRTAZAPINA;30;milligrammi
037384169;MIRTAZAPINA;30;MG
037384171;MIRTAZAPINA;30;MG
037384171;MIRTAZAPINA;30;milligrammi
037384183;MIRTAZAPINA;30;MG
037384183;MIRTAZAPINA;30;milligrammi
037384195;MIRTAZAPINA;30;MG
037384195;MIRTAZAPINA;30;milligrammi
037384207;MIRTAZAPINA;30;milligrammi
037384207;MIRTAZAPINA;30;MG
037384219;MIRTAZAPINA;30;MG
037384219;MIRTAZAPINA;30;milligrammi
037384221;MIRTAZAPINA;30;MG
037384221;MIRTAZAPINA;30;milligrammi
037384233;MIRTAZAPINA;30;MG
037384233;MIRTAZAPINA;30;milligrammi
037384245;MIRTAZAPINA;30;MG
037384245;MIRTAZAPINA;30;milligrammi
037384258;MIRTAZAPINA;30;MG
037384258;MIRTAZAPINA;30;milligrammi
037384260;MIRTAZAPINA;30;MG
037384260;MIRTAZAPINA;30;milligrammi
037384272;MIRTAZAPINA;30;MG
037384272;MIRTAZAPINA;30;milligrammi
037384284;MIRTAZAPINA;45;milligrammi
037384284;MIRTAZAPINA;45;MG
037384296;MIRTAZAPINA;45;MG
037384296;MIRTAZAPINA;45;milligrammi
037384308;MIRTAZAPINA;45;MG
037384308;MIRTAZAPINA;45;milligrammi
037384310;MIRTAZAPINA;45;milligrammi
037384310;MIRTAZAPINA;45;MG
037384322;MIRTAZAPINA;45;milligrammi
037384322;MIRTAZAPINA;45;MG
037384334;MIRTAZAPINA;45;MG
037384334;MIRTAZAPINA;45;milligrammi
037384346;MIRTAZAPINA;45;milligrammi
037384346;MIRTAZAPINA;45;MG
037384359;MIRTAZAPINA;45;MG
037384359;MIRTAZAPINA;45;milligrammi
037384361;MIRTAZAPINA;45;milligrammi
037384361;MIRTAZAPINA;45;MG
037384373;MIRTAZAPINA;45;milligrammi
037384373;MIRTAZAPINA;45;MG
037384385;MIRTAZAPINA;45;milligrammi
037384385;MIRTAZAPINA;45;MG
037384397;MIRTAZAPINA;45;milligrammi
037384397;MIRTAZAPINA;45;MG
037385010;N.D.;0;N.D.
037385022;N.D.;0;N.D.
037385034;N.D.;0;N.D.
037385046;N.D.;0;N.D.
037385059;N.D.;0;N.D.
037385061;N.D.;0;N.D.
037385073;N.D.;0;N.D.
